event_id,timestamp,event_type,severity,user_email,user_role,user_team,resource_type,resource_name,resource_id,action,action_result,description,ip_address,user_agent,session_id,request_id,approver_email,approval_status,metadata,before_state,after_state,risk_score,compliance_tags
AUDIT-1762036187917-ATUTDA,2025-11-01T22:29:47.917Z,TOOL_EXECUTED,LOW,alice@company.com,,,,,,execute_tool_checkUserAccess,SUCCESS,Tool checkUserAccess executed success,,,,,,,"{""tool_name"":""checkUserAccess"",""parameters"":{""userEmail"":""alice@company.com""},""error_message"":10}",,,0,"automation,tool_usage"
AUDIT-1762036193167-7ZH9A9,2025-11-01T22:29:53.167Z,SYSTEM_ACCESS,LOW,alice@company.com,,,,,,chat_request_completed,SUCCESS,Chat request completed successfully in 9237ms,::1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",,REQ-1762036183928-1myofp,,,"{""execution_time_ms"":9237,""token_usage"":{""inputTokens"":2920,""outputTokens"":226,""totalTokens"":3146,""reasoningTokens"":0,""cachedInputTokens"":2688},""finish_reason"":""stop"",""response_length"":994}",,,0,
AUDIT-1762036265607-MW6MWA,2025-11-01T22:31:05.607Z,SYSTEM_ACCESS,LOW,alice@company.com,,,,,,chat_message_sent,SUCCESS,"User sent chat message: I have completed the training ",::1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",,,,,"{""message_length"":30,""message_preview"":""I have completed the training "",""input_method"":""text_input"",""browser_url"":""http://localhost:3000/"",""browser_referrer"":""http://localhost:3000/"",""browser_user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36"",""browser_timestamp"":""2025-11-01T22:31:05.591Z"",""client_side"":true,""server_processed"":true,""received_at"":""2025-11-01T22:31:05.607Z""}",,,0,
AUDIT-1762036265646-TINOAJ,2025-11-01T22:31:05.646Z,SYSTEM_ACCESS,LOW,alice@company.com,,,,,,chat_request_initiated,SUCCESS,Chat request initiated with 3 messages,::1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",,REQ-1762036265646-bxcp40,,,"{""message_count"":3,""last_message"":""I have completed the training "",""request_method"":""POST"",""endpoint"":""/api/chat""}",,,0,
AUDIT-1762036270110-YFLIZW,2025-11-01T22:31:10.110Z,SYSTEM_ACCESS,LOW,alice@company.com,,,,,,chat_request_completed,SUCCESS,Chat request completed successfully in 4462ms,::1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",,REQ-1762036265646-bxcp40,,,"{""execution_time_ms"":4462,""token_usage"":{""inputTokens"":3501,""outputTokens"":212,""totalTokens"":3713,""reasoningTokens"":0,""cachedInputTokens"":3072},""finish_reason"":""stop"",""response_length"":840}",,,0,
AUDIT-1762036346147-19I9U0,2025-11-01T22:32:26.147Z,SYSTEM_ACCESS,LOW,alice@company.com,,,,,,suggested_query_clicked,SUCCESS,User clicked suggested query: Who owns the payment service?,::1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",,,,,"{""suggestion_text"":""Who owns the payment service?"",""input_method"":""suggestion_button"",""ui_component"":""suggested_queries"",""browser_url"":""http://localhost:3000/"",""browser_referrer"":""http://localhost:3000/"",""browser_user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36"",""browser_timestamp"":""2025-11-01T22:32:26.124Z"",""client_side"":true,""server_processed"":true,""received_at"":""2025-11-01T22:32:26.147Z""}",,,0,
AUDIT-1762036346191-9FRDF3,2025-11-01T22:32:26.191Z,SYSTEM_ACCESS,LOW,alice@company.com,,,,,,chat_request_initiated,SUCCESS,Chat request initiated with 1 messages,::1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",,REQ-1762036346191-m5gmst,,,"{""message_count"":1,""last_message"":""Who owns the payment service?"",""request_method"":""POST"",""endpoint"":""/api/chat""}",,,0,
AUDIT-1762036349780-IWJ8DL,2025-11-01T22:32:29.780Z,SYSTEM_ACCESS,LOW,alice@company.com,,,,,,chat_request_completed,SUCCESS,Chat request completed successfully in 3587ms,::1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",,REQ-1762036346191-m5gmst,,,"{""execution_time_ms"":3587,""token_usage"":{""inputTokens"":2502,""outputTokens"":108,""totalTokens"":2610,""reasoningTokens"":0,""cachedInputTokens"":2304},""finish_reason"":""stop"",""response_length"":463}",,,0,
AUDIT-1762036375469-CIQRJZ,2025-11-01T22:32:55.469Z,SYSTEM_ACCESS,LOW,alice@company.com,,,,,,chat_message_sent,SUCCESS,"User sent chat message: I need access for backend git repo ",::1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",,,,,"{""message_length"":35,""message_preview"":""I need access for backend git repo "",""input_method"":""text_input"",""browser_url"":""http://localhost:3000/"",""browser_referrer"":""http://localhost:3000/"",""browser_user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36"",""browser_timestamp"":""2025-11-01T22:32:55.445Z"",""client_side"":true,""server_processed"":true,""received_at"":""2025-11-01T22:32:55.469Z""}",,,0,
AUDIT-1762036375512-WRRQ2H,2025-11-01T22:32:55.512Z,SYSTEM_ACCESS,LOW,alice@company.com,,,,,,chat_request_initiated,SUCCESS,Chat request initiated with 3 messages,::1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",,REQ-1762036375512-r5jarq,,,"{""message_count"":3,""last_message"":""I need access for backend git repo "",""request_method"":""POST"",""endpoint"":""/api/chat""}",,,0,
AUDIT-1762036377843-AVN1AM,2025-11-01T22:32:57.843Z,TOOL_EXECUTED,LOW,alice@company.com,,,,,,execute_tool_checkUserAccess,SUCCESS,Tool checkUserAccess executed success,,,,,,,"{""tool_name"":""checkUserAccess"",""parameters"":{""userEmail"":""alice@company.com""}}",,,0,"automation,tool_usage"
AUDIT-1762036377849-ZLTO3I,2025-11-01T22:32:57.849Z,SYSTEM_ACCESS,LOW,alice@company.com,,,,,,access_check_completed,SUCCESS,User access check returned 6 active permissions,,,,,,,"{""access_count"":6,""resources"":""database:staging_db,database:production_db,api_key:stripe,network:vpn_whitelist,cloud:aws_dev,tool:datadog""}",,,0,
AUDIT-1762036377852-1RTSN9,2025-11-01T22:32:57.852Z,TOOL_EXECUTED,LOW,alice@company.com,,,,,,execute_tool_checkUserAccess,SUCCESS,Tool checkUserAccess executed success,,,,,,,"{""tool_name"":""checkUserAccess"",""parameters"":{""userEmail"":""alice@company.com""},""error_message"":9}",,,0,"automation,tool_usage"
AUDIT-1762036379213-CDXRIM,2025-11-01T22:32:59.213Z,TOOL_EXECUTED,LOW,alice@company.com,,,,,,execute_tool_getUserRequestHistory,SUCCESS,Tool getUserRequestHistory executed success,,,,,,,"{""tool_name"":""getUserRequestHistory"",""parameters"":{""userEmail"":""alice@company.com""}}",,,0,"automation,tool_usage"
AUDIT-1762036379222-7FZFL3,2025-11-01T22:32:59.222Z,SYSTEM_ACCESS,LOW,alice@company.com,,,,,,request_history_retrieved,SUCCESS,"Request history retrieved: 2 pending, 1 approved, 0 rejected",,,,,,,"{""total_requests"":3,""pending_count"":2,""approved_count"":1,""rejected_count"":0}",,,0,
AUDIT-1762036383942-29APBW,2025-11-01T22:33:03.942Z,SYSTEM_ACCESS,LOW,alice@company.com,,,,,,chat_request_completed,SUCCESS,Chat request completed successfully in 8427ms,::1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",,REQ-1762036375512-r5jarq,,,"{""execution_time_ms"":8427,""token_usage"":{""inputTokens"":3412,""outputTokens"":85,""totalTokens"":3497,""reasoningTokens"":0,""cachedInputTokens"":3200},""finish_reason"":""stop"",""response_length"":403}",,,0,
AUDIT-1762036393820-MI5ITG,2025-11-01T22:33:13.820Z,UI_ACTION_PERFORMED,LOW,alice@company.com,,,,,,ui_submit_access_request_performed,SUCCESS,UI interaction: submit_access_request - performed,::1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",,,,,"{""component_type"":""submit_access_request"",""ui_action"":""performed"",""form_data"":{""resourceType"":""github"",""resourceName"":""backend_team_org"",""reason"":""To test a new feature."",""urgency"":""medium""},""browser_url"":""http://localhost:3000/"",""browser_referrer"":""http://localhost:3000/"",""browser_user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36"",""browser_timestamp"":""2025-11-01T22:33:13.801Z"",""client_side"":true,""server_processed"":true,""received_at"":""2025-11-01T22:33:13.820Z""}",,,0,"user_interaction,ui"
AUDIT-1762036393842-PLL3RX,2025-11-01T22:33:13.842Z,SYSTEM_ACCESS,LOW,alice@company.com,,,,,,access_request_form_submitted,SUCCESS,User submitted access request form for github:backend_team_org,::1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",,,,,"{""form_data"":{""resourceType"":""github"",""resourceName"":""backend_team_org"",""reason"":""To test a new feature."",""urgency"":""medium""},""ui_component"":""access_request_form"",""browser_url"":""http://localhost:3000/"",""browser_referrer"":""http://localhost:3000/"",""browser_user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36"",""browser_timestamp"":""2025-11-01T22:33:13.836Z"",""client_side"":true,""server_processed"":true,""received_at"":""2025-11-01T22:33:13.842Z""}",,,0,"form_submission,access_request"
AUDIT-1762036393957-UKOSCP,2025-11-01T22:33:13.957Z,SYSTEM_ACCESS,LOW,alice@company.com,,,,,,chat_request_initiated,SUCCESS,Chat request initiated with 5 messages,::1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",,REQ-1762036393957-xqsld6,,,"{""message_count"":5,""last_message"":""I've submitted an access request for github:backend_team_org. Reason: To test a new feature.. Urgenc"",""request_method"":""POST"",""endpoint"":""/api/chat""}",,,0,
AUDIT-1762036395489-K6I7OK,2025-11-01T22:33:15.489Z,ACCESS_REQUEST,LOW,alice@company.com,,,github,backend_team_org,,request_access,PENDING,Access request for github:backend_team_org - To test a new feature.,,,,,,,,,,10,access_control
AUDIT-1762036396299-18E0X8,2025-11-01T22:33:16.299Z,APPROVAL_REQUESTED,LOW,alice@company.com,,,github,backend_team_org,,approval_requested,PENDING,Access request REQ-1762036395496 requested for github:backend_team_org,,,,REQ-1762036395496,bob@company.com,,"{""approval_reason"":""To test a new feature."",""workflow_step"":""REQUESTED""}",,,0,"approval_workflow,governance"
AUDIT-1762036396304-F7ISPN,2025-11-01T22:33:16.304Z,TOOL_EXECUTED,LOW,alice@company.com,,,,,,execute_tool_requestAccess,SUCCESS,Tool requestAccess executed success,,,,,,,"{""tool_name"":""requestAccess"",""parameters"":{""resourceType"":""github"",""resourceName"":""backend_team_org"",""reason"":""To test a new feature.""},""error_message"":814}",,,0,"automation,tool_usage"
AUDIT-1762036398552-KDPM5M,2025-11-01T22:33:18.552Z,SYSTEM_ACCESS,LOW,alice@company.com,,,,,,chat_request_completed,SUCCESS,Chat request completed successfully in 4592ms,::1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",,REQ-1762036393957-xqsld6,,,"{""execution_time_ms"":4592,""token_usage"":{""inputTokens"":3685,""outputTokens"":109,""totalTokens"":3794,""reasoningTokens"":0,""cachedInputTokens"":3584},""finish_reason"":""stop"",""response_length"":435}",,,0,
AUDIT-1762036460944-EN76TD,2025-11-01T22:34:20.944Z,SYSTEM_ACCESS,LOW,alice@company.com,,,,,,suggested_query_clicked,SUCCESS,User clicked suggested query: Whitelist my IP,::1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",,,,,"{""suggestion_text"":""Whitelist my IP"",""input_method"":""suggestion_button"",""ui_component"":""suggested_queries"",""browser_url"":""http://localhost:3000/"",""browser_referrer"":""http://localhost:3000/"",""browser_user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36"",""browser_timestamp"":""2025-11-01T22:34:20.930Z"",""client_side"":true,""server_processed"":true,""received_at"":""2025-11-01T22:34:20.944Z""}",,,0,
AUDIT-1762036461096-54A4WE,2025-11-01T22:34:21.096Z,SYSTEM_ACCESS,LOW,alice@company.com,,,,,,chat_request_initiated,SUCCESS,Chat request initiated with 1 messages,::1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",,REQ-1762036461096-9j6s14,,,"{""message_count"":1,""last_message"":""Whitelist my IP"",""request_method"":""POST"",""endpoint"":""/api/chat""}",,,0,
AUDIT-1762036462030-7AKW1V,2025-11-01T22:34:22.030Z,SYSTEM_ACCESS,LOW,system,,,,,,get_current_ip,SUCCESS,Retrieved current IP address: 136.25.15.73,136.25.15.73,,,,,,"{""source"":""ipify_api"",""method"":""fetch""}",,,0,
AUDIT-1762036462034-E0QCAZ,2025-11-01T22:34:22.034Z,TOOL_EXECUTED,LOW,alice@company.com,,,,,,execute_tool_getCurrentIP,SUCCESS,Tool getCurrentIP executed success,,,,,,,"{""tool_name"":""getCurrentIP"",""parameters"":{},""error_message"":129}",,,0,"automation,tool_usage"
AUDIT-1762036463205-4JSGOM,2025-11-01T22:34:23.205Z,SECURITY_VIOLATION,MEDIUM,alice@company.com,,,,,,ip_whitelist_denied_training,SUCCESS,IP whitelist denied - security training not valid,,,,,,,,,,60,"security,violation,alert"
AUDIT-1762036469592-27VC3F,2025-11-01T22:34:29.592Z,SYSTEM_ACCESS,LOW,alice@company.com,,,,,,chat_request_completed,SUCCESS,Chat request completed successfully in 8491ms,::1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",,REQ-1762036461096-9j6s14,,,"{""execution_time_ms"":8491,""token_usage"":{""inputTokens"":3112,""outputTokens"":228,""totalTokens"":3340,""reasoningTokens"":0,""cachedInputTokens"":2688},""finish_reason"":""stop"",""response_length"":873}",,,0,
AUDIT-1762036508906-HKXCBD,2025-11-01T22:35:08.906Z,SYSTEM_ACCESS,LOW,alice@company.com,,,,,,suggested_query_clicked,SUCCESS,User clicked suggested query: Whitelist my IP,::1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",,,,,"{""suggestion_text"":""Whitelist my IP"",""input_method"":""suggestion_button"",""ui_component"":""suggested_queries"",""browser_url"":""http://localhost:3000/"",""browser_referrer"":""http://localhost:3000/"",""browser_user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36"",""browser_timestamp"":""2025-11-01T22:35:08.881Z"",""client_side"":true,""server_processed"":true,""received_at"":""2025-11-01T22:35:08.906Z""}",,,0,
AUDIT-1762036508952-U9IVDD,2025-11-01T22:35:08.952Z,SYSTEM_ACCESS,LOW,alice@company.com,,,,,,chat_request_initiated,SUCCESS,Chat request initiated with 1 messages,::1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",,REQ-1762036508951-ujpj4k,,,"{""message_count"":1,""last_message"":""Whitelist my IP"",""request_method"":""POST"",""endpoint"":""/api/chat""}",,,0,
AUDIT-1762036509840-XTVN5F,2025-11-01T22:35:09.840Z,SYSTEM_ACCESS,LOW,system,,,,,,get_current_ip,SUCCESS,Retrieved current IP address: 136.25.15.73,136.25.15.73,,,,,,"{""source"":""ipify_api"",""method"":""fetch""}",,,0,
AUDIT-1762036509845-JIOADW,2025-11-01T22:35:09.845Z,TOOL_EXECUTED,LOW,alice@company.com,,,,,,execute_tool_getCurrentIP,SUCCESS,Tool getCurrentIP executed success,,,,,,,"{""tool_name"":""getCurrentIP"",""parameters"":{},""error_message"":123}",,,0,"automation,tool_usage"
AUDIT-1762036510811-FJT1ZE,2025-11-01T22:35:10.811Z,SECURITY_VIOLATION,MEDIUM,alice@company.com,,,,,,ip_whitelist_denied_training,SUCCESS,IP whitelist denied - security training not valid,,,,,,,,,,60,"security,violation,alert"
AUDIT-1762036515395-7EQE5W,2025-11-01T22:35:15.395Z,TOOL_EXECUTED,LOW,alice@company.com,,,,,,execute_tool_getUserRequestHistory,SUCCESS,Tool getUserRequestHistory executed success,,,,,,,"{""tool_name"":""getUserRequestHistory"",""parameters"":{""userEmail"":""alice@company.com""}}",,,0,"automation,tool_usage"
AUDIT-1762036515407-EH024N,2025-11-01T22:35:15.407Z,SYSTEM_ACCESS,LOW,alice@company.com,,,,,,request_history_retrieved,SUCCESS,"Request history retrieved: 3 pending, 1 approved, 0 rejected",,,,,,,"{""total_requests"":4,""pending_count"":3,""approved_count"":1,""rejected_count"":0}",,,0,
AUDIT-1762036516844-3A61RL,2025-11-01T22:35:16.844Z,SYSTEM_ACCESS,LOW,alice@company.com,,,,,,chat_request_completed,SUCCESS,Chat request completed successfully in 7889ms,::1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",,REQ-1762036508951-ujpj4k,,,"{""execution_time_ms"":7889,""token_usage"":{""inputTokens"":3156,""outputTokens"":28,""totalTokens"":3184,""reasoningTokens"":0,""cachedInputTokens"":2688},""finish_reason"":""tool-calls"",""response_length"":0}",,,0,
AUDIT-1762036670185-WOABFE,2025-11-01T22:37:50.185Z,SYSTEM_ACCESS,LOW,alice@company.com,,,,,,user_role_switched,SUCCESS,User switched from alice@company.com to eve@company.com,::1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",,,,,"{""previous_user"":""alice@company.com"",""new_user"":""eve@company.com"",""ui_component"":""user_selector"",""browser_url"":""http://localhost:3000/"",""browser_referrer"":""http://localhost:3000/"",""browser_user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36"",""browser_timestamp"":""2025-11-01T22:37:50.088Z"",""client_side"":true,""server_processed"":true,""received_at"":""2025-11-01T22:37:50.183Z""}",,,0,
AUDIT-1762036675466-TNRMXG,2025-11-01T22:37:55.466Z,SYSTEM_ACCESS,LOW,eve@company.com,,,,,,suggested_query_clicked,SUCCESS,User clicked suggested query: What access do I have?,::1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",,,,,"{""suggestion_text"":""What access do I have?"",""input_method"":""suggestion_button"",""ui_component"":""suggested_queries"",""browser_url"":""http://localhost:3000/"",""browser_referrer"":""http://localhost:3000/"",""browser_user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36"",""browser_timestamp"":""2025-11-01T22:37:55.446Z"",""client_side"":true,""server_processed"":true,""received_at"":""2025-11-01T22:37:55.465Z""}",,,0,
AUDIT-1762036675506-7SCEQY,2025-11-01T22:37:55.506Z,SYSTEM_ACCESS,LOW,eve@company.com,,,,,,chat_request_initiated,SUCCESS,Chat request initiated with 1 messages,::1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",,REQ-1762036675506-815tpg,,,"{""message_count"":1,""last_message"":""What access do I have?"",""request_method"":""POST"",""endpoint"":""/api/chat""}",,,0,
AUDIT-1762036677080-3JEDWB,2025-11-01T22:37:57.080Z,TOOL_EXECUTED,LOW,eve@company.com,,,,,,execute_tool_checkUserAccess,SUCCESS,Tool checkUserAccess executed success,,,,,,,"{""tool_name"":""checkUserAccess"",""parameters"":{""userEmail"":""eve@company.com""}}",,,0,"automation,tool_usage"
AUDIT-1762036677088-PEJ274,2025-11-01T22:37:57.088Z,SYSTEM_ACCESS,LOW,eve@company.com,,,,,,access_check_completed,SUCCESS,User access check returned 1 active permissions,,,,,,,"{""access_count"":1,""resources"":""database:staging_db""}",,,0,
AUDIT-1762036677093-SIPZ2G,2025-11-01T22:37:57.093Z,TOOL_EXECUTED,LOW,eve@company.com,,,,,,execute_tool_checkUserAccess,SUCCESS,Tool checkUserAccess executed success,,,,,,,"{""tool_name"":""checkUserAccess"",""parameters"":{""userEmail"":""eve@company.com""},""error_message"":13}",,,0,"automation,tool_usage"
AUDIT-1762036678629-IGJA9J,2025-11-01T22:37:58.629Z,TOOL_EXECUTED,LOW,eve@company.com,,,,,,execute_tool_checkUserAccess,SUCCESS,Tool checkUserAccess executed success,,,,,,,"{""tool_name"":""checkUserAccess"",""parameters"":{""userEmail"":""eve@company.com""}}",,,0,"automation,tool_usage"
AUDIT-1762036678643-5IHQF9,2025-11-01T22:37:58.643Z,SYSTEM_ACCESS,LOW,eve@company.com,,,,,,access_check_completed,SUCCESS,User access check returned 1 active permissions,,,,,,,"{""access_count"":1,""resources"":""database:staging_db""}",,,0,
